beta,gamma,rho,sigma,b0,q0
-0.7,0.6699,-0.6,5.65450620065,0.1,0.3
-0.7,0.6699,-0.5,4.80452022542,0.1,0.3
-0.7,0.6699,-0.5,4.80452022542,0.1,0.3
-0.6,0.5304,-0.4,11.7277091907,0.1,0.3
-0.6,0.5304,-0.4,11.7277091907,0.1,0.3
-0.6,0.5304,-0.3,9.58436213992,0.1,0.3
-0.6,0.5304,-0.3,9.58436213992,0.1,0.3
-0.6,0.5304,-0.3,9.58436213992,0.1,0.3
-0.5,0.3875,-0.3,29.4,0.1,0.3
-0.5,0.3875,-0.2,23.0,0.1,0.3
-0.5,0.3875,-0.2,23.0,0.1,0.3
-0.5,0.3875,-0.2,23.0,0.1,0.3
-0.4,0.2544,-0.1,53.1953125,0.1,0.3
-0.4,0.2544,-0.1,53.1953125,0.1,0.3
-0.3,0.1419,-0.1,208.075445816,0.1,0.3
-1.0,0.9,-0.8,0.4,0.1,0.4
-1.0,0.9,-0.8,0.4,0.1,0.4
-0.9,0.8739,-0.8,0.896473926551,0.1,0.4
-0.9,0.8739,-0.8,0.896473926551,0.1,0.4
-0.9,0.8739,-0.7,0.708306284235,0.1,0.4
-0.9,0.8739,-0.7,0.708306284235,0.1,0.4
-0.9,0.8739,-0.7,0.708306284235,0.1,0.4
-0.8,0.7904,-0.7,2.06921386719,0.1,0.4
-0.8,0.7904,-0.7,2.06921386719,0.1,0.4
-0.8,0.7904,-0.6,1.68774414062,0.1,0.4
-0.8,0.7904,-0.6,1.68774414062,0.1,0.4
-0.8,0.7904,-0.6,1.68774414062,0.1,0.4
-0.7,0.6699,-0.6,5.05951601799,0.1,0.4
-0.7,0.6699,-0.6,5.05951601799,0.1,0.4
-0.7,0.6699,-0.5,4.20953004275,0.1,0.4
-0.7,0.6699,-0.5,4.20953004275,0.1,0.4
-0.6,0.5304,-0.4,10.4417009602,0.1,0.4
-0.6,0.5304,-0.4,10.4417009602,0.1,0.4
-0.6,0.5304,-0.3,8.29835390947,0.1,0.4
-0.6,0.5304,-0.3,8.29835390947,0.1,0.4
-0.6,0.5304,-0.3,8.29835390947,0.1,0.4
-0.5,0.3875,-0.3,26.2,0.1,0.4
-0.5,0.3875,-0.2,19.8,0.1,0.4
-0.5,0.3875,-0.2,19.8,0.1,0.4
-0.5,0.3875,-0.2,19.8,0.1,0.4
-0.4,0.2544,-0.1,43.4296875,0.1,0.4
-0.4,0.2544,-0.1,43.4296875,0.1,0.4
-0.3,0.1419,-0.1,166.923182442,0.1,0.4
-1.0,0.9,-0.9,0.4,0.1,0.5
-1.0,0.9,-0.8,0.3,0.1,0.5
-1.0,0.9,-0.8,0.3,0.1,0.5
-0.9,0.8739,-0.9,0.915290690782,0.1,0.5
-0.9,0.8739,-0.8,0.727123048466,0.1,0.5
-0.9,0.8739,-0.8,0.727123048466,0.1,0.5
-0.9,0.8739,-0.8,0.727123048466,0.1,0.5
-0.8,0.7904,-0.7,1.76403808594,0.1,0.5
-0.8,0.7904,-0.7,1.76403808594,0.1,0.5
-0.8,0.7904,-0.6,1.38256835937,0.1,0.5
-0.8,0.7904,-0.6,1.38256835937,0.1,0.5
-0.8,0.7904,-0.6,1.38256835937,0.1,0.5
-0.8,0.7904,-0.6,1.38256835937,0.1,0.5
-0.7,0.6699,-0.6,4.46452583532,0.1,0.5
-0.7,0.6699,-0.6,4.46452583532,0.1,0.5
-0.7,0.6699,-0.5,3.61453986009,0.1,0.5
-0.7,0.6699,-0.5,3.61453986009,0.1,0.5
-0.7,0.6699,-0.5,3.61453986009,0.1,0.5
-0.6,0.5304,-0.4,9.15569272977,0.1,0.5
-0.6,0.5304,-0.4,9.15569272977,0.1,0.5
-0.6,0.5304,-0.3,7.01234567901,0.1,0.5
-0.6,0.5304,-0.3,7.01234567901,0.1,0.5
-0.6,0.5304,-0.3,7.01234567901,0.1,0.5
-0.5,0.3875,-0.3,23.0,0.1,0.5
-0.5,0.3875,-0.2,16.6,0.1,0.5
-0.5,0.3875,-0.2,16.6,0.1,0.5
-0.5,0.3875,-0.2,16.6,0.1,0.5
-0.4,0.2544,-0.1,33.6640625,0.1,0.5
-0.4,0.2544,-0.1,33.6640625,0.1,0.5
-0.3,0.1419,-0.1,125.770919067,0.1,0.5
-1.0,0.9,-0.9,0.3,0.1,0.6
-1.0,0.9,-0.8,0.2,0.1,0.6
-1.0,0.9,-0.8,0.2,0.1,0.6
-0.9,0.8739,-0.9,0.745939812698,0.1,0.6
-0.9,0.8739,-0.8,0.557772170382,0.1,0.6
-0.9,0.8739,-0.8,0.557772170382,0.1,0.6
-0.9,0.8739,-0.8,0.557772170382,0.1,0.6
-0.8,0.7904,-0.7,1.45886230469,0.1,0.6
-0.8,0.7904,-0.7,1.45886230469,0.1,0.6
-0.7,0.6699,-0.6,3.86953565266,0.1,0.6
-0.7,0.6699,-0.6,3.86953565266,0.1,0.6
-0.7,0.6699,-0.5,3.01954967743,0.1,0.6
-0.7,0.6699,-0.5,3.01954967743,0.1,0.6
-0.7,0.6699,-0.5,3.01954967743,0.1,0.6
-0.6,0.5304,-0.4,7.86968449931,0.1,0.6
-0.6,0.5304,-0.4,7.86968449931,0.1,0.6
-0.6,0.5304,-0.4,7.86968449931,0.1,0.6
-0.5,0.3875,-0.3,19.8,0.1,0.6
-0.5,0.3875,-0.3,19.8,0.1,0.6
-0.5,0.3875,-0.2,13.4,0.1,0.6
-0.5,0.3875,-0.2,13.4,0.1,0.6
-0.5,0.3875,-0.2,13.4,0.1,0.6
-0.3,0.1419,-0.1,84.6186556927,0.1,0.6
-1.0,0.9,-0.9,0.2,0.1,0.7
-1.0,0.9,-0.8,0.1,0.1,0.7
-1.0,0.9,-0.8,0.1,0.1,0.7
-0.9,0.8739,-0.9,0.576588934614,0.1,0.7
-0.9,0.8739,-0.8,0.388421292298,0.1,0.7
-0.9,0.8739,-0.8,0.388421292298,0.1,0.7
-0.9,0.8739,-0.8,0.388421292298,0.1,0.7
-0.8,0.7904,-0.8,1.53515625,0.1,0.7
-0.8,0.7904,-0.8,1.53515625,0.1,0.7
-0.8,0.7904,-0.7,1.15368652344,0.1,0.7
-0.8,0.7904,-0.7,1.15368652344,0.1,0.7
-0.7,0.6699,-0.6,3.27454547,0.1,0.7
-0.7,0.6699,-0.6,3.27454547,0.1,0.7
-0.7,0.6699,-0.5,2.42455949477,0.1,0.7
-0.7,0.6699,-0.5,2.42455949477,0.1,0.7
-0.7,0.6699,-0.5,2.42455949477,0.1,0.7
-0.6,0.5304,-0.4,6.58367626886,0.1,0.7
-0.6,0.5304,-0.4,6.58367626886,0.1,0.7
-0.6,0.5304,-0.4,6.58367626886,0.1,0.7
-0.5,0.3875,-0.3,16.6,0.1,0.7
-0.5,0.3875,-0.3,16.6,0.1,0.7
-0.5,0.3875,-0.2,10.2,0.1,0.7
-0.5,0.3875,-0.2,10.2,0.1,0.7
-0.5,0.3875,-0.2,10.2,0.1,0.7
-0.4,0.2544,-0.2,38.546875,0.1,0.7
-0.3,0.1419,-0.1,43.4663923182,0.1,0.7
-1.0,0.9,-0.9,0.1,0.1,0.8
-1.0,0.9,-0.9,0.1,0.1,0.8
-1.0,0.9,-0.8,0.0,0.1,0.8
-1.0,0.9,-0.8,0.0,0.1,0.8
-1.0,0.9,-0.8,0.0,0.1,0.8
-0.9,0.8739,-0.9,0.407238056529,0.1,0.8
-0.9,0.8739,-0.8,0.219070414213,0.1,0.8
-0.9,0.8739,-0.8,0.219070414213,0.1,0.8
-0.9,0.8739,-0.8,0.219070414213,0.1,0.8
-0.8,0.7904,-0.8,1.22998046875,0.1,0.8
-0.8,0.7904,-0.8,1.22998046875,0.1,0.8
-0.8,0.7904,-0.7,0.848510742187,0.1,0.8
-0.8,0.7904,-0.7,0.848510742187,0.1,0.8
-0.7,0.6699,-0.6,2.67955528734,0.1,0.8
-0.7,0.6699,-0.6,2.67955528734,0.1,0.8
-0.7,0.6699,-0.5,1.82956931211,0.1,0.8
-0.7,0.6699,-0.5,1.82956931211,0.1,0.8
-0.7,0.6699,-0.5,1.82956931211,0.1,0.8
-0.6,0.5304,-0.5,7.44101508916,0.1,0.8
-0.6,0.5304,-0.4,5.29766803841,0.1,0.8
-0.6,0.5304,-0.4,5.29766803841,0.1,0.8
-0.6,0.5304,-0.4,5.29766803841,0.1,0.8
-0.5,0.3875,-0.3,13.4,0.1,0.8
-0.5,0.3875,-0.3,13.4,0.1,0.8
-0.4,0.2544,-0.2,28.78125,0.1,0.8
-0.3,0.1419,-0.1,2.31412894376,0.1,0.8
-0.3,0.1419,-0.1,2.31412894376,0.1,0.8
-1.0,0.9,-0.9,0.0,0.1,0.9
-1.0,0.9,-0.9,0.0,0.1,0.9
-1.0,0.9,-0.8,-0.1,0.1,0.9
-1.0,0.9,-0.8,-0.1,0.1,0.9
-1.0,0.9,-0.8,-0.1,0.1,0.9
-0.9,0.8739,-0.9,0.237887178445,0.1,0.9
-0.9,0.8739,-0.8,0.0497195361291,0.1,0.9
-0.9,0.8739,-0.8,0.0497195361291,0.1,0.9
-0.9,0.8739,-0.8,0.0497195361291,0.1,0.9
-0.8,0.7904,-0.8,0.9248046875,0.1,0.9
-0.8,0.7904,-0.8,0.9248046875,0.1,0.9
-0.8,0.7904,-0.7,0.543334960937,0.1,0.9
-0.8,0.7904,-0.7,0.543334960937,0.1,0.9
-0.8,0.7904,-0.7,0.543334960937,0.1,0.9
-0.7,0.6699,-0.6,2.08456510468,0.1,0.9
-0.7,0.6699,-0.6,2.08456510468,0.1,0.9
-0.7,0.6699,-0.6,2.08456510468,0.1,0.9
-0.6,0.5304,-0.5,6.15500685871,0.1,0.9
-0.6,0.5304,-0.4,4.01165980796,0.1,0.9
-0.6,0.5304,-0.4,4.01165980796,0.1,0.9
-0.6,0.5304,-0.4,4.01165980796,0.1,0.9
-0.5,0.3875,-0.3,10.2,0.1,0.9
-0.5,0.3875,-0.3,10.2,0.1,0.9
-0.4,0.2544,-0.2,19.015625,0.1,0.9
-1.0,0.9,-0.9,-0.1,0.1,1.0
-1.0,0.9,-0.9,-0.1,0.1,1.0
-0.9,0.8739,-0.9,0.0685363003607,0.1,1.0
-0.9,0.8739,-0.9,0.0685363003607,0.1,1.0
-0.9,0.8739,-0.8,-0.119631341955,0.1,1.0
-0.9,0.8739,-0.8,-0.119631341955,0.1,1.0
-0.9,0.8739,-0.8,-0.119631341955,0.1,1.0
-0.8,0.7904,-0.8,0.61962890625,0.1,1.0
-0.8,0.7904,-0.8,0.61962890625,0.1,1.0
-0.8,0.7904,-0.7,0.238159179687,0.1,1.0
-0.8,0.7904,-0.7,0.238159179687,0.1,1.0
-0.8,0.7904,-0.7,0.238159179687,0.1,1.0
-0.7,0.6699,-0.6,1.48957492201,0.1,1.0
-0.7,0.6699,-0.6,1.48957492201,0.1,1.0
-0.7,0.6699,-0.6,1.48957492201,0.1,1.0
-0.6,0.5304,-0.5,4.86899862826,0.1,1.0
-0.6,0.5304,-0.4,2.7256515775,0.1,1.0
-0.6,0.5304,-0.4,2.7256515775,0.1,1.0
-0.6,0.5304,-0.4,2.7256515775,0.1,1.0
-0.5,0.3875,-0.3,7.0,0.1,1.0
-0.5,0.3875,-0.3,7.0,0.1,1.0
-0.4,0.2544,-0.2,9.25,0.1,1.0
-0.9,0.8739,-0.9,-0.100814577724,0.1,1.1
-0.9,0.8739,-0.9,-0.100814577724,0.1,1.1
-0.8,0.7904,-0.8,0.314453125,0.1,1.1
-0.8,0.7904,-0.8,0.314453125,0.1,1.1
-0.7,0.6699,-0.7,1.74457071458,0.1,1.1
-0.7,0.6699,-0.6,0.894584739352,0.1,1.1
-0.7,0.6699,-0.6,0.894584739352,0.1,1.1
-0.7,0.6699,-0.6,0.894584739352,0.1,1.1
-0.6,0.5304,-0.5,3.58299039781,0.1,1.1
-0.6,0.5304,-0.5,3.58299039781,0.1,1.1
-0.6,0.5304,-0.4,1.43964334705,0.1,1.1
-0.6,0.5304,-0.4,1.43964334705,0.1,1.1
-0.6,0.5304,-0.4,1.43964334705,0.1,1.1
-0.5,0.3875,-0.3,3.8,0.1,1.1
-0.5,0.3875,-0.3,3.8,0.1,1.1
-0.8,0.7904,-0.8,0.00927734375,0.1,1.2
-0.8,0.7904,-0.8,0.00927734375,0.1,1.2
-0.7,0.6699,-0.7,1.14958053192,0.1,1.2
-0.7,0.6699,-0.6,0.29959455669,0.1,1.2
-0.7,0.6699,-0.6,0.29959455669,0.1,1.2
-0.7,0.6699,-0.6,0.29959455669,0.1,1.2
-0.6,0.5304,-0.5,2.29698216735,0.1,1.2
-0.6,0.5304,-0.5,2.29698216735,0.1,1.2
-0.6,0.5304,-0.4,0.153635116598,0.1,1.2
-0.6,0.5304,-0.4,0.153635116598,0.1,1.2
-0.6,0.5304,-0.4,0.153635116598,0.1,1.2
-0.6,0.5304,-0.4,0.153635116598,0.1,1.2
-0.5,0.3875,-0.3,0.6,0.1,1.2
-0.5,0.3875,-0.3,0.6,0.1,1.2
-0.5,0.3875,-0.3,0.6,0.1,1.2
-0.7,0.6699,-0.7,0.554590349259,0.1,1.3
-0.6,0.5304,-0.5,1.0109739369,0.1,1.3
-0.6,0.5304,-0.5,1.0109739369,0.1,1.3
-0.7,0.6699,-0.7,-0.0403998334028,0.1,1.4
-0.7,0.6699,-0.7,-0.0403998334028,0.1,1.4
-1.0,0.8,-0.7,0.6,0.2,0.1
-1.0,0.8,-0.6,0.5,0.2,0.1
-1.0,0.8,-0.6,0.5,0.2,0.1
-1.0,0.8,-0.6,0.5,0.2,0.1
-0.9,0.7839,-0.7,1.11982891798,0.2,0.1
-0.9,0.7839,-0.6,0.931661275664,0.2,0.1
-0.9,0.7839,-0.6,0.931661275664,0.2,0.1
-0.8,0.7104,-0.6,2.27368164062,0.2,0.1
-0.8,0.7104,-0.5,1.89221191406,0.2,0.1
-0.8,0.7104,-0.5,1.89221191406,0.2,0.1
-0.8,0.7104,-0.5,1.89221191406,0.2,0.1
-0.7,0.5999,-0.5,5.08416561127,0.2,0.1
-0.7,0.5999,-0.5,5.08416561127,0.2,0.1
-0.7,0.5999,-0.4,4.23417963604,0.2,0.1
-0.7,0.5999,-0.4,4.23417963604,0.2,0.1
-0.6,0.4704,-0.3,9.68724279835,0.2,0.1
-0.6,0.4704,-0.3,9.68724279835,0.2,0.1
-0.5,0.3375,-0.2,22.2,0.2,0.1
-0.4,0.2144,-0.1,48.1171875,0.2,0.1
-0.4,0.2144,-0.1,48.1171875,0.2,0.1
-1.0,0.8,-0.7,0.5,0.2,0.2
-1.0,0.8,-0.6,0.4,0.2,0.2
-1.0,0.8,-0.6,0.4,0.2,0.2
-1.0,0.8,-0.6,0.4,0.2,0.2
-0.9,0.7839,-0.7,0.950478039895,0.2,0.2
-0.9,0.7839,-0.7,0.950478039895,0.2,0.2
-0.9,0.7839,-0.6,0.762310397579,0.2,0.2
-0.9,0.7839,-0.6,0.762310397579,0.2,0.2
-0.8,0.7104,-0.6,1.96850585937,0.2,0.2
-0.8,0.7104,-0.6,1.96850585937,0.2,0.2
-0.8,0.7104,-0.5,1.58703613281,0.2,0.2
-0.8,0.7104,-0.5,1.58703613281,0.2,0.2
-0.8,0.7104,-0.5,1.58703613281,0.2,0.2
-0.7,0.5999,-0.5,4.48917542861,0.2,0.2
-0.7,0.5999,-0.5,4.48917542861,0.2,0.2
-0.7,0.5999,-0.4,3.63918945337,0.2,0.2
-0.7,0.5999,-0.4,3.63918945337,0.2,0.2
-0.6,0.4704,-0.3,8.4012345679,0.2,0.2
-0.6,0.4704,-0.3,8.4012345679,0.2,0.2
-0.5,0.3375,-0.2,19.0,0.2,0.2
-0.5,0.3375,-0.2,19.0,0.2,0.2
-0.4,0.2144,-0.1,38.3515625,0.2,0.2
-0.4,0.2144,-0.1,38.3515625,0.2,0.2
-1.0,0.8,-0.7,0.4,0.2,0.3
-1.0,0.8,-0.6,0.3,0.2,0.3
-1.0,0.8,-0.6,0.3,0.2,0.3
-1.0,0.8,-0.6,0.3,0.2,0.3
-0.9,0.7839,-0.7,0.781127161811,0.2,0.3
-0.9,0.7839,-0.7,0.781127161811,0.2,0.3
-0.9,0.7839,-0.6,0.592959519495,0.2,0.3
-0.9,0.7839,-0.6,0.592959519495,0.2,0.3
-0.9,0.7839,-0.6,0.592959519495,0.2,0.3
-0.8,0.7104,-0.6,1.66333007812,0.2,0.3
-0.8,0.7104,-0.6,1.66333007812,0.2,0.3
-0.8,0.7104,-0.5,1.28186035156,0.2,0.3
-0.8,0.7104,-0.5,1.28186035156,0.2,0.3
-0.8,0.7104,-0.5,1.28186035156,0.2,0.3
-0.7,0.5999,-0.5,3.89418524594,0.2,0.3
-0.7,0.5999,-0.5,3.89418524594,0.2,0.3
-0.7,0.5999,-0.4,3.04419927071,0.2,0.3
-0.7,0.5999,-0.4,3.04419927071,0.2,0.3
-0.6,0.4704,-0.3,7.11522633745,0.2,0.3
-0.6,0.4704,-0.3,7.11522633745,0.2,0.3
-0.6,0.4704,-0.3,7.11522633745,0.2,0.3
-0.5,0.3375,-0.2,15.8,0.2,0.3
-0.5,0.3375,-0.2,15.8,0.2,0.3
-0.4,0.2144,-0.1,28.5859375,0.2,0.3
-0.4,0.2144,-0.1,28.5859375,0.2,0.3
-1.0,0.8,-0.7,0.3,0.2,0.4
-1.0,0.8,-0.6,0.2,0.2,0.4
-1.0,0.8,-0.6,0.2,0.2,0.4
-1.0,0.8,-0.6,0.2,0.2,0.4
-0.9,0.7839,-0.7,0.611776283727,0.2,0.4
-0.9,0.7839,-0.7,0.611776283727,0.2,0.4
-0.9,0.7839,-0.6,0.423608641411,0.2,0.4
-0.9,0.7839,-0.6,0.423608641411,0.2,0.4
-0.9,0.7839,-0.6,0.423608641411,0.2,0.4
-0.8,0.7104,-0.6,1.35815429687,0.2,0.4
-0.8,0.7104,-0.6,1.35815429687,0.2,0.4
-0.8,0.7104,-0.5,0.976684570312,0.2,0.4
-0.8,0.7104,-0.5,0.976684570312,0.2,0.4
-0.8,0.7104,-0.5,0.976684570312,0.2,0.4
-0.7,0.5999,-0.5,3.29919506328,0.2,0.4
-0.7,0.5999,-0.5,3.29919506328,0.2,0.4
-0.7,0.5999,-0.4,2.44920908805,0.2,0.4
-0.7,0.5999,-0.4,2.44920908805,0.2,0.4
-0.7,0.5999,-0.4,2.44920908805,0.2,0.4
-0.6,0.4704,-0.4,7.97256515775,0.2,0.4
-0.6,0.4704,-0.3,5.829218107,0.2,0.4
-0.6,0.4704,-0.3,5.829218107,0.2,0.4
-0.6,0.4704,-0.3,5.829218107,0.2,0.4
-0.5,0.3375,-0.2,12.6,0.2,0.4
-0.5,0.3375,-0.2,12.6,0.2,0.4
-0.4,0.2144,-0.1,18.8203125,0.2,0.4
-0.4,0.2144,-0.1,18.8203125,0.2,0.4
-1.0,0.8,-0.7,0.2,0.2,0.5
-1.0,0.8,-0.6,0.1,0.2,0.5
-1.0,0.8,-0.6,0.1,0.2,0.5
-1.0,0.8,-0.6,0.1,0.2,0.5
-0.9,0.7839,-0.7,0.442425405642,0.2,0.5
-0.9,0.7839,-0.7,0.442425405642,0.2,0.5
-0.9,0.7839,-0.6,0.254257763327,0.2,0.5
-0.9,0.7839,-0.6,0.254257763327,0.2,0.5
-0.9,0.7839,-0.6,0.254257763327,0.2,0.5
-0.8,0.7104,-0.6,1.05297851562,0.2,0.5
-0.8,0.7104,-0.6,1.05297851562,0.2,0.5
-0.7,0.5999,-0.5,2.70420488062,0.2,0.5
-0.7,0.5999,-0.5,2.70420488062,0.2,0.5
-0.7,0.5999,-0.4,1.85421890539,0.2,0.5
-0.7,0.5999,-0.4,1.85421890539,0.2,0.5
-0.7,0.5999,-0.4,1.85421890539,0.2,0.5
-0.6,0.4704,-0.4,6.6865569273,0.2,0.5
-0.6,0.4704,-0.3,4.54320987654,0.2,0.5
-0.6,0.4704,-0.3,4.54320987654,0.2,0.5
-0.6,0.4704,-0.3,4.54320987654,0.2,0.5
-0.5,0.3375,-0.2,9.4,0.2,0.5
-0.5,0.3375,-0.2,9.4,0.2,0.5
-0.4,0.2144,-0.1,9.0546875,0.2,0.5
-0.4,0.2144,-0.1,9.0546875,0.2,0.5
-1.0,0.8,-0.7,0.1,0.2,0.6
-1.0,0.8,-0.6,-1.11022302463e-16,0.2,0.6
-1.0,0.8,-0.6,-1.11022302463e-16,0.2,0.6
-1.0,0.8,-0.6,-1.11022302463e-16,0.2,0.6
-0.9,0.7839,-0.7,0.273074527558,0.2,0.6
-0.9,0.7839,-0.7,0.273074527558,0.2,0.6
-0.8,0.7104,-0.6,0.747802734375,0.2,0.6
-0.8,0.7104,-0.6,0.747802734375,0.2,0.6
-0.7,0.5999,-0.5,2.10921469796,0.2,0.6
-0.7,0.5999,-0.5,2.10921469796,0.2,0.6
-0.7,0.5999,-0.4,1.25922872273,0.2,0.6
-0.7,0.5999,-0.4,1.25922872273,0.2,0.6
-0.7,0.5999,-0.4,1.25922872273,0.2,0.6
-0.6,0.4704,-0.4,5.40054869684,0.2,0.6
-0.6,0.4704,-0.3,3.25720164609,0.2,0.6
-0.6,0.4704,-0.3,3.25720164609,0.2,0.6
-0.6,0.4704,-0.3,3.25720164609,0.2,0.6
-0.5,0.3375,-0.2,6.2,0.2,0.6
-0.5,0.3375,-0.2,6.2,0.2,0.6
-1.0,0.8,-0.7,-1.11022302463e-16,0.2,0.7
-0.9,0.7839,-0.7,0.103723649474,0.2,0.7
-0.9,0.7839,-0.7,0.103723649474,0.2,0.7
-0.8,0.7104,-0.6,0.442626953125,0.2,0.7
-0.8,0.7104,-0.6,0.442626953125,0.2,0.7
-0.7,0.5999,-0.5,1.5142245153,0.2,0.7
-0.7,0.5999,-0.5,1.5142245153,0.2,0.7
-0.6,0.4704,-0.4,4.11454046639,0.2,0.7
-0.6,0.4704,-0.3,1.97119341564,0.2,0.7
-0.6,0.4704,-0.3,1.97119341564,0.2,0.7
-0.6,0.4704,-0.3,1.97119341564,0.2,0.7
-0.5,0.3375,-0.2,3.0,0.2,0.7
-0.5,0.3375,-0.2,3.0,0.2,0.7
-1.0,0.8,-0.7,-0.1,0.2,0.8
-1.0,0.8,-0.7,-0.1,0.2,0.8
-0.9,0.7839,-0.7,-0.0656272286105,0.2,0.8
-0.9,0.7839,-0.7,-0.0656272286105,0.2,0.8
-0.9,0.7839,-0.7,-0.0656272286105,0.2,0.8
-0.8,0.7104,-0.6,0.137451171875,0.2,0.8
-0.8,0.7104,-0.6,0.137451171875,0.2,0.8
-0.7,0.5999,-0.5,0.919234332634,0.2,0.8
-0.7,0.5999,-0.5,0.919234332634,0.2,0.8
-0.7,0.5999,-0.5,0.919234332634,0.2,0.8
-0.6,0.4704,-0.4,2.82853223594,0.2,0.8
-0.6,0.4704,-0.3,0.685185185185,0.2,0.8
-0.6,0.4704,-0.3,0.685185185185,0.2,0.8
-0.6,0.4704,-0.3,0.685185185185,0.2,0.8
-0.5,0.3375,-0.2,-0.2,0.2,0.8
-0.5,0.3375,-0.2,-0.2,0.2,0.8
-0.5,0.3375,-0.2,-0.2,0.2,0.8
-0.8,0.7104,-0.7,0.213745117187,0.2,0.9
-0.8,0.7104,-0.7,0.213745117187,0.2,0.9
-0.8,0.7104,-0.6,-0.167724609375,0.2,0.9
-0.8,0.7104,-0.6,-0.167724609375,0.2,0.9
-0.8,0.7104,-0.6,-0.167724609375,0.2,0.9
-0.7,0.5999,-0.5,0.324244149972,0.2,0.9
-0.7,0.5999,-0.5,0.324244149972,0.2,0.9
-0.7,0.5999,-0.5,0.324244149972,0.2,0.9
-0.6,0.4704,-0.4,1.54252400549,0.2,0.9
-0.6,0.4704,-0.4,1.54252400549,0.2,0.9
-0.8,0.7104,-0.7,-0.0914306640625,0.2,1.0
-0.8,0.7104,-0.7,-0.0914306640625,0.2,1.0
-0.7,0.5999,-0.6,0.579239942541,0.2,1.0
-0.6,0.4704,-0.4,0.256515775034,0.2,1.0
-0.6,0.4704,-0.4,0.256515775034,0.2,1.0
-0.5,0.3375,-0.3,-0.2,0.2,1.0
-0.7,0.5999,-0.6,-0.015750240121,0.2,1.1
-1.0,0.7,-0.5,0.4,0.3,0.1
-1.0,0.7,-0.5,0.4,0.3,0.1
-0.9,0.6939,-0.5,0.64696363284,0.3,0.1
-0.9,0.6939,-0.5,0.64696363284,0.3,0.1
-0.8,0.6304,-0.5,1.56262207031,0.3,0.1
-0.8,0.6304,-0.4,1.18115234375,0.3,0.1
-0.8,0.6304,-0.4,1.18115234375,0.3,0.1
-0.8,0.6304,-0.4,1.18115234375,0.3,0.1
-0.7,0.5299,-0.4,3.32384465656,0.3,0.1
-0.7,0.5299,-0.4,3.32384465656,0.3,0.1
-0.7,0.5299,-0.3,2.47385868133,0.3,0.1
-0.7,0.5299,-0.3,2.47385868133,0.3,0.1
-0.7,0.5299,-0.3,2.47385868133,0.3,0.1
-0.6,0.4104,-0.3,7.21810699588,0.3,0.1
-0.6,0.4104,-0.2,5.07475994513,0.3,0.1
-0.6,0.4104,-0.2,5.07475994513,0.3,0.1
-0.6,0.4104,-0.2,5.07475994513,0.3,0.1
-0.5,0.2875,-0.2,15.0,0.3,0.1
-0.4,0.1744,-0.1,23.5078125,0.3,0.1
-1.0,0.7,-0.5,0.3,0.3,0.2
-1.0,0.7,-0.5,0.3,0.3,0.2
-0.9,0.6939,-0.5,0.477612754755,0.3,0.2
-0.9,0.6939,-0.5,0.477612754755,0.3,0.2
-0.8,0.6304,-0.5,1.25744628906,0.3,0.2
-0.8,0.6304,-0.4,0.8759765625,0.3,0.2
-0.8,0.6304,-0.4,0.8759765625,0.3,0.2
-0.8,0.6304,-0.4,0.8759765625,0.3,0.2
-0.7,0.5299,-0.4,2.7288544739,0.3,0.2
-0.7,0.5299,-0.4,2.7288544739,0.3,0.2
-0.7,0.5299,-0.3,1.87886849867,0.3,0.2
-0.7,0.5299,-0.3,1.87886849867,0.3,0.2
-0.7,0.5299,-0.3,1.87886849867,0.3,0.2
-0.6,0.4104,-0.3,5.93209876543,0.3,0.2
-0.6,0.4104,-0.2,3.78875171468,0.3,0.2
-0.6,0.4104,-0.2,3.78875171468,0.3,0.2
-0.6,0.4104,-0.2,3.78875171468,0.3,0.2
-0.5,0.2875,-0.2,11.8,0.3,0.2
-0.4,0.1744,-0.1,13.7421875,0.3,0.2
-1.0,0.7,-0.5,0.2,0.3,0.3
-1.0,0.7,-0.5,0.2,0.3,0.3
-0.9,0.6939,-0.5,0.308261876671,0.3,0.3
-0.9,0.6939,-0.5,0.308261876671,0.3,0.3
-0.8,0.6304,-0.5,0.952270507812,0.3,0.3
-0.8,0.6304,-0.5,0.952270507812,0.3,0.3
-0.8,0.6304,-0.4,0.57080078125,0.3,0.3
-0.8,0.6304,-0.4,0.57080078125,0.3,0.3
-0.8,0.6304,-0.4,0.57080078125,0.3,0.3
-0.7,0.5299,-0.4,2.13386429124,0.3,0.3
-0.7,0.5299,-0.4,2.13386429124,0.3,0.3
-0.6,0.4104,-0.3,4.64609053498,0.3,0.3
-0.5,0.2875,-0.2,8.6,0.3,0.3
-0.4,0.1744,-0.1,3.9765625,0.3,0.3
-1.0,0.7,-0.5,0.1,0.3,0.4
-1.0,0.7,-0.5,0.1,0.3,0.4
-0.9,0.6939,-0.6,0.327078640903,0.3,0.4
-0.9,0.6939,-0.5,0.138910998587,0.3,0.4
-0.9,0.6939,-0.5,0.138910998587,0.3,0.4
-0.8,0.6304,-0.5,0.647094726562,0.3,0.4
-0.8,0.6304,-0.5,0.647094726562,0.3,0.4
-0.7,0.5299,-0.4,1.53887410858,0.3,0.4
-0.7,0.5299,-0.4,1.53887410858,0.3,0.4
-0.6,0.4104,-0.3,3.36008230453,0.3,0.4
-0.5,0.2875,-0.2,5.4,0.3,0.4
