beta,gamma,rho,sigma
-0.6,0.5304,0.8,-20.4224965706
-0.6,0.5304,0.8,-20.4224965706
-0.6,0.5304,0.8,-20.4224965706
-0.6,0.5304,0.8,-21.7085048011
-0.6,0.5304,0.8,-21.7085048011
-0.6,0.5304,0.8,-21.7085048011
-0.6,0.5304,0.8,-21.7085048011
-0.6,0.5304,0.8,-22.9945130316
-0.6,0.5304,0.8,-22.9945130316
-0.6,0.5304,0.8,-22.9945130316
-0.6,0.5304,0.8,-22.9945130316
-0.6,0.5304,0.8,-24.280521262
-0.6,0.5304,0.8,-24.280521262
-0.6,0.5304,0.8,-24.280521262
-0.6,0.5304,0.8,-25.5665294925
-0.6,0.5304,0.8,-25.5665294925
-0.6,0.5304,0.8,-25.5665294925
-0.6,0.5304,0.8,-26.8525377229
-0.6,0.5304,0.8,-26.8525377229
-0.6,0.5304,0.8,-26.8525377229
-0.6,0.5304,0.8,-28.1385459534
-0.6,0.5304,0.8,-28.1385459534
-0.6,0.5304,0.8,-28.1385459534
-0.6,0.5304,0.8,-29.4245541838
-0.6,0.5304,0.8,-29.4245541838
-0.6,0.5304,0.8,-29.4245541838
-0.6,0.5304,0.8,-30.7105624143
-0.6,0.5304,0.8,-30.7105624143
-0.6,0.5304,0.8,-30.7105624143
-0.6,0.5304,0.8,-31.9965706447
-0.6,0.5304,0.8,-31.9965706447
-0.6,0.5304,0.8,-31.9965706447
-0.6,0.5304,0.8,-33.2825788752
-0.6,0.5304,0.8,-33.2825788752
-0.6,0.5304,0.8,-33.2825788752
-0.6,0.5304,0.8,-34.5685871056
-0.6,0.5304,0.8,-34.5685871056
-0.6,0.5304,0.8,-34.5685871056
-0.6,0.5304,0.8,-35.8545953361
-0.6,0.5304,0.8,-35.8545953361
-0.6,0.5904,0.9,-17.524691358
-0.6,0.5904,0.9,-17.524691358
-0.6,0.5904,0.9,-17.524691358
-0.6,0.5904,0.9,-17.524691358
-0.6,0.5904,0.9,-17.524691358
-0.6,0.5904,0.9,-18.8106995885
-0.6,0.5904,0.9,-18.8106995885
-0.6,0.5904,0.9,-18.8106995885
-0.6,0.5904,0.9,-18.8106995885
-0.6,0.5904,0.9,-20.0967078189
-0.6,0.5904,0.9,-20.0967078189
-0.6,0.5904,0.9,-20.0967078189
-0.6,0.5904,0.9,-20.0967078189
-0.6,0.5904,0.9,-21.3827160494
-0.6,0.5904,0.9,-21.3827160494
-0.6,0.5904,0.9,-21.3827160494
-0.6,0.5904,0.9,-21.3827160494
-0.6,0.5904,0.9,-22.6687242798
-0.6,0.5904,0.9,-22.6687242798
-0.6,0.5904,0.9,-22.6687242798
-0.6,0.5904,0.9,-22.6687242798
-0.6,0.5904,0.9,-23.9547325103
-0.6,0.5904,0.9,-23.9547325103
-0.6,0.5904,0.9,-23.9547325103
-0.6,0.5904,0.9,-23.9547325103
-0.6,0.5904,0.9,-25.2407407407
-0.6,0.5904,0.9,-25.2407407407
-0.6,0.5904,0.9,-25.2407407407
-0.6,0.5904,0.9,-25.2407407407
-0.6,0.5904,0.9,-26.5267489712
-0.6,0.5904,0.9,-26.5267489712
-0.6,0.5904,0.9,-26.5267489712
-0.6,0.5904,0.9,-26.5267489712
-0.6,0.5904,0.9,-27.8127572016
-0.6,0.5904,0.9,-27.8127572016
-0.6,0.5904,0.9,-27.8127572016
-0.6,0.5904,0.9,-27.8127572016
-0.6,0.5904,0.9,-29.0987654321
-0.6,0.5904,0.9,-29.0987654321
-0.6,0.5904,0.9,-29.0987654321
-0.6,0.5904,0.9,-29.0987654321
-0.6,0.5904,0.9,-30.3847736626
-0.6,0.5904,0.9,-30.3847736626
-0.6,0.5904,0.9,-30.3847736626
-0.6,0.5904,0.9,-31.670781893
-0.6,0.5904,0.9,-31.670781893
-0.6,0.5904,0.9,-31.670781893
-0.6,0.5904,0.9,-32.9567901235
-0.6,0.5904,0.9,-32.9567901235
-0.6,0.5904,0.9,-32.9567901235
-0.6,0.5904,0.9,-34.2427983539
-0.6,0.5904,0.9,-34.2427983539
-0.6,0.5904,0.9,-34.2427983539
-0.6,0.5904,0.9,-35.5288065844
-0.6,0.5904,0.9,-35.5288065844
-0.6,0.5904,0.9,-35.5288065844
-0.5,0.3875,-0.6,0.6
-0.5,0.3375,-0.2,-0.2
-0.5,0.3375,-0.2,-0.2
-0.5,0.4375,-0.1,-1.8
-0.5,0.4375,-0.1,-1.8
-0.5,0.4375,0.0,-1.8
-0.5,0.4375,0.0,-1.8
-0.5,0.4375,0.0,-1.8
-0.5,0.3875,0.0,-2.6
-0.5,0.2875,0.0,-1.0
-0.5,0.2875,0.0,-1.0
-0.5,0.4375,0.1,-1.8
-0.5,0.4375,0.1,-1.8
-0.5,0.4375,0.1,-1.8
-0.5,0.4375,0.1,-1.8
-0.5,0.4375,0.1,-5.0
-0.5,0.3875,0.1,-2.6
-0.5,0.3875,0.1,-2.6
-0.5,0.3875,0.1,-2.6
-0.5,0.4375,0.2,-5.0
-0.5,0.4375,0.2,-5.0
-0.5,0.4375,0.2,-5.0
-0.5,0.3875,0.2,-2.6
-0.5,0.3875,0.2,-2.6
-0.5,0.3875,0.2,-2.6
-0.5,0.3875,0.2,-2.6
-0.5,0.3875,0.2,-5.8
-0.5,0.3375,0.2,-3.4
-0.5,0.3375,0.2,-3.4
-0.5,0.3375,0.2,-3.4
-0.5,0.4375,0.3,-5.0
-0.5,0.4375,0.3,-5.0
-0.5,0.4375,0.3,-5.0
-0.5,0.4375,0.3,-5.0
-0.5,0.4375,0.3,-8.2
-0.5,0.4375,0.3,-8.2
-0.5,0.4375,0.3,-11.4
-0.5,0.3875,0.3,-5.8
-0.5,0.3875,0.3,-5.8
-0.5,0.3875,0.3,-5.8
-0.5,0.3875,0.3,-9.0
-0.5,0.3875,0.3,-9.0
-0.5,0.3375,0.3,-9.8
-0.5,0.4375,0.4,-5.0
-0.5,0.4375,0.4,-5.0
-0.5,0.4375,0.4,-5.0
-0.5,0.4375,0.4,-5.0
-0.5,0.4375,0.4,-5.0
-0.5,0.4375,0.4,-8.2
-0.5,0.4375,0.4,-8.2
-0.5,0.4375,0.4,-8.2
-0.5,0.4375,0.4,-11.4
-0.5,0.4375,0.4,-11.4
-0.5,0.4375,0.4,-11.4
-0.5,0.4375,0.4,-14.6
-0.5,0.4375,0.4,-14.6
-0.5,0.4375,0.4,-17.8
-0.5,0.4375,0.4,-17.8
-0.5,0.4375,0.4,-21.0
-0.5,0.4375,0.4,-24.2
-0.5,0.3875,0.4,-9.0
-0.5,0.3875,0.4,-9.0
-0.5,0.3875,0.4,-9.0
-0.5,0.3875,0.4,-12.2
-0.5,0.3875,0.4,-12.2
-0.5,0.3875,0.4,-15.4
-0.5,0.3875,0.4,-15.4
-0.5,0.3875,0.4,-18.6
-0.5,0.3875,0.4,-21.8
-0.5,0.3375,0.4,-16.2
-0.5,0.3375,0.4,-16.2
-0.5,0.3375,0.4,-19.4
-0.5,0.3375,0.4,-22.6
-0.5,0.2875,0.4,-26.6
-0.5,0.2875,0.4,-26.6
-0.5,0.2875,0.4,-29.8
-0.5,0.2875,0.4,-33.0
-0.5,0.2875,0.4,-36.2
-0.5,0.4375,0.5,-8.2
-0.5,0.4375,0.5,-8.2
-0.5,0.4375,0.5,-8.2
-0.5,0.4375,0.5,-8.2
-0.5,0.4375,0.5,-8.2
-0.5,0.4375,0.5,-8.2
-0.5,0.4375,0.5,-11.4
-0.5,0.4375,0.5,-11.4
-0.5,0.4375,0.5,-11.4
-0.5,0.4375,0.5,-11.4
-0.5,0.4375,0.5,-11.4
-0.5,0.4375,0.5,-14.6
-0.5,0.4375,0.5,-14.6
-0.5,0.4375,0.5,-14.6
-0.5,0.4375,0.5,-14.6
-0.5,0.4375,0.5,-14.6
-0.5,0.4375,0.5,-17.8
-0.5,0.4375,0.5,-17.8
-0.5,0.4375,0.5,-17.8
-0.5,0.4375,0.5,-17.8
-0.5,0.4375,0.5,-21.0
-0.5,0.4375,0.5,-21.0
-0.5,0.4375,0.5,-21.0
-0.5,0.4375,0.5,-21.0
-0.5,0.4375,0.5,-24.2
-0.5,0.4375,0.5,-24.2
-0.5,0.4375,0.5,-24.2
-0.5,0.4375,0.5,-27.4
-0.5,0.4375,0.5,-27.4
-0.5,0.4375,0.5,-30.6
-0.5,0.4375,0.5,-30.6
-0.5,0.4375,0.5,-33.8
-0.5,0.4375,0.5,-33.8
-0.5,0.4375,0.5,-37.0
-0.5,0.4375,0.5,-37.0
-0.5,0.4375,0.5,-40.2
-0.5,0.4375,0.5,-40.2
-0.5,0.4375,0.5,-43.4
-0.5,0.4375,0.5,-43.4
-0.5,0.4375,0.5,-46.6
-0.5,0.4375,0.5,-49.8
-0.5,0.4375,0.5,-53.0
-0.5,0.4375,0.5,-56.2
-0.5,0.4375,0.5,-59.4
-0.5,0.4375,0.5,-62.6
-0.5,0.4375,0.5,-65.8
-0.5,0.4375,0.5,-69.0
-0.5,0.3875,0.5,-15.4
-0.5,0.3875,0.5,-15.4
-0.5,0.3875,0.5,-15.4
-0.5,0.3875,0.5,-15.4
-0.5,0.3875,0.5,-18.6
-0.5,0.3875,0.5,-18.6
-0.5,0.3875,0.5,-18.6
-0.5,0.3875,0.5,-18.6
-0.5,0.3875,0.5,-21.8
-0.5,0.3875,0.5,-21.8
-0.5,0.3875,0.5,-21.8
-0.5,0.3875,0.5,-21.8
-0.5,0.3875,0.5,-25.0
-0.5,0.3875,0.5,-25.0
-0.5,0.3875,0.5,-25.0
-0.5,0.3875,0.5,-28.2
-0.5,0.3875,0.5,-28.2
-0.5,0.3875,0.5,-28.2
-0.5,0.3875,0.5,-31.4
-0.5,0.3875,0.5,-31.4
-0.5,0.3875,0.5,-34.6
-0.5,0.3875,0.5,-34.6
-0.5,0.3875,0.5,-37.8
-0.5,0.3875,0.5,-37.8
-0.5,0.3875,0.5,-41.0
-0.5,0.3875,0.5,-41.0
-0.5,0.3875,0.5,-44.2
-0.5,0.3875,0.5,-47.4
-0.5,0.3875,0.5,-50.6
-0.5,0.3875,0.5,-53.8
-0.5,0.3875,0.5,-57.0
-0.5,0.3875,0.5,-60.2
-0.5,0.3875,0.5,-63.4
-0.5,0.3875,0.5,-66.6
-0.5,0.3875,0.5,-69.8
-0.5,0.3875,0.5,-73.0
-0.5,0.3875,0.5,-76.2
-0.5,0.3375,0.5,-25.8
-0.5,0.3375,0.5,-25.8
-0.5,0.3375,0.5,-25.8
-0.5,0.3375,0.5,-29.0
-0.5,0.3375,0.5,-29.0
-0.5,0.3375,0.5,-29.0
-0.5,0.3375,0.5,-32.2
-0.5,0.3375,0.5,-32.2
-0.5,0.3375,0.5,-32.2
-0.5,0.3375,0.5,-35.4
-0.5,0.3375,0.5,-35.4
-0.5,0.3375,0.5,-35.4
-0.5,0.3375,0.5,-38.6
-0.5,0.3375,0.5,-38.6
-0.5,0.3375,0.5,-38.6
-0.5,0.3375,0.5,-41.8
-0.5,0.3375,0.5,-41.8
-0.5,0.3375,0.5,-41.8
-0.5,0.3375,0.5,-45.0
-0.5,0.3375,0.5,-45.0
-0.5,0.3375,0.5,-48.2
-0.5,0.3375,0.5,-48.2
-0.5,0.3375,0.5,-51.4
-0.5,0.3375,0.5,-51.4
-0.5,0.3375,0.5,-54.6
-0.5,0.3375,0.5,-54.6
-0.5,0.3375,0.5,-57.8
-0.5,0.3375,0.5,-61.0
-0.5,0.3375,0.5,-64.2
-0.5,0.3375,0.5,-67.4
-0.5,0.3375,0.5,-70.6
-0.5,0.3375,0.5,-73.8
-0.5,0.3375,0.5,-77.0
-0.5,0.3375,0.5,-80.2
-0.5,0.3375,0.5,-83.4
-0.5,0.4375,0.6,-14.6
-0.5,0.4375,0.6,-14.6
-0.5,0.4375,0.6,-14.6
-0.5,0.4375,0.6,-14.6
-0.5,0.4375,0.6,-14.6
-0.5,0.4375,0.6,-14.6
-0.5,0.4375,0.6,-17.8
-0.5,0.4375,0.6,-17.8
-0.5,0.4375,0.6,-17.8
-0.5,0.4375,0.6,-17.8
-0.5,0.4375,0.6,-17.8
-0.5,0.4375,0.6,-17.8
-0.5,0.4375,0.6,-21.0
-0.5,0.4375,0.6,-21.0
-0.5,0.4375,0.6,-21.0
-0.5,0.4375,0.6,-21.0
-0.5,0.4375,0.6,-21.0
-0.5,0.4375,0.6,-24.2
-0.5,0.4375,0.6,-24.2
-0.5,0.4375,0.6,-24.2
-0.5,0.4375,0.6,-24.2
-0.5,0.4375,0.6,-27.4
-0.5,0.4375,0.6,-27.4
-0.5,0.4375,0.6,-27.4
-0.5,0.4375,0.6,-27.4
-0.5,0.4375,0.6,-30.6
-0.5,0.4375,0.6,-30.6
-0.5,0.4375,0.6,-30.6
-0.5,0.4375,0.6,-30.6
-0.5,0.4375,0.6,-33.8
-0.5,0.4375,0.6,-33.8
-0.5,0.4375,0.6,-33.8
-0.5,0.4375,0.6,-37.0
-0.5,0.4375,0.6,-37.0
-0.5,0.4375,0.6,-37.0
-0.5,0.4375,0.6,-40.2
-0.5,0.4375,0.6,-40.2
-0.5,0.4375,0.6,-40.2
-0.5,0.4375,0.6,-43.4
-0.5,0.4375,0.6,-43.4
-0.5,0.4375,0.6,-43.4
-0.5,0.4375,0.6,-46.6
-0.5,0.4375,0.6,-46.6
-0.5,0.4375,0.6,-46.6
-0.5,0.4375,0.6,-49.8
-0.5,0.4375,0.6,-49.8
-0.5,0.4375,0.6,-49.8
-0.5,0.4375,0.6,-53.0
-0.5,0.4375,0.6,-53.0
-0.5,0.4375,0.6,-53.0
-0.5,0.4375,0.6,-56.2
-0.5,0.4375,0.6,-56.2
-0.5,0.4375,0.6,-56.2
-0.5,0.4375,0.6,-59.4
-0.5,0.4375,0.6,-59.4
-0.5,0.4375,0.6,-59.4
-0.5,0.4375,0.6,-62.6
-0.5,0.4375,0.6,-62.6
-0.5,0.4375,0.6,-62.6
-0.5,0.4375,0.6,-65.8
-0.5,0.4375,0.6,-65.8
-0.5,0.4375,0.6,-69.0
-0.5,0.4375,0.6,-69.0
-0.5,0.4375,0.6,-72.2
-0.5,0.4375,0.6,-72.2
-0.5,0.4375,0.6,-75.4
-0.5,0.4375,0.6,-75.4
-0.5,0.3875,0.6,-25.0
-0.5,0.3875,0.6,-25.0
-0.5,0.3875,0.6,-25.0
-0.5,0.3875,0.6,-25.0
-0.5,0.3875,0.6,-25.0
-0.5,0.3875,0.6,-28.2
-0.5,0.3875,0.6,-28.2
-0.5,0.3875,0.6,-28.2
-0.5,0.3875,0.6,-28.2
-0.5,0.3875,0.6,-28.2
-0.5,0.3875,0.6,-31.4
-0.5,0.3875,0.6,-31.4
-0.5,0.3875,0.6,-31.4
-0.5,0.3875,0.6,-34.6
-0.5,0.3875,0.6,-34.6
-0.5,0.3875,0.6,-34.6
-0.5,0.3875,0.6,-37.8
-0.5,0.3875,0.6,-37.8
-0.5,0.3875,0.6,-37.8
-0.5,0.3875,0.6,-41.0
-0.5,0.3875,0.6,-41.0
-0.5,0.3875,0.6,-41.0
-0.5,0.3875,0.6,-44.2
-0.5,0.3875,0.6,-44.2
-0.5,0.3875,0.6,-44.2
-0.5,0.3875,0.6,-47.4
-0.5,0.3875,0.6,-47.4
-0.5,0.3875,0.6,-47.4
-0.5,0.3875,0.6,-50.6
-0.5,0.3875,0.6,-50.6
-0.5,0.3875,0.6,-50.6
-0.5,0.3875,0.6,-53.8
-0.5,0.3875,0.6,-53.8
-0.5,0.3875,0.6,-53.8
-0.5,0.3875,0.6,-57.0
-0.5,0.3875,0.6,-57.0
-0.5,0.3875,0.6,-57.0
-0.5,0.3875,0.6,-60.2
-0.5,0.3875,0.6,-60.2
-0.5,0.3875,0.6,-60.2
-0.5,0.3875,0.6,-63.4
-0.5,0.3875,0.6,-63.4
-0.5,0.3875,0.6,-66.6
-0.5,0.3875,0.6,-66.6
-0.5,0.3875,0.6,-69.8
-0.5,0.3875,0.6,-69.8
-0.5,0.3875,0.6,-73.0
-0.5,0.3875,0.6,-73.0
-0.5,0.3875,0.6,-76.2
-0.5,0.3875,0.6,-76.2
-0.5,0.3875,0.6,-79.4
-0.5,0.3875,0.6,-79.4
-0.5,0.3875,0.6,-82.6
-0.5,0.3875,0.6,-82.6
-0.5,0.4375,0.7,-24.2
-0.5,0.4375,0.7,-24.2
-0.5,0.4375,0.7,-24.2
-0.5,0.4375,0.7,-24.2
-0.5,0.4375,0.7,-24.2
-0.5,0.4375,0.7,-27.4
-0.5,0.4375,0.7,-27.4
-0.5,0.4375,0.7,-27.4
-0.5,0.4375,0.7,-27.4
-0.5,0.4375,0.7,-27.4
-0.5,0.4375,0.7,-30.6
-0.5,0.4375,0.7,-30.6
-0.5,0.4375,0.7,-30.6
-0.5,0.4375,0.7,-30.6
-0.5,0.4375,0.7,-30.6
-0.5,0.4375,0.7,-33.8
-0.5,0.4375,0.7,-33.8
-0.5,0.4375,0.7,-33.8
-0.5,0.4375,0.7,-33.8
-0.5,0.4375,0.7,-33.8
-0.5,0.4375,0.7,-37.0
-0.5,0.4375,0.7,-37.0
-0.5,0.4375,0.7,-37.0
-0.5,0.4375,0.7,-37.0
-0.5,0.4375,0.7,-37.0
-0.5,0.4375,0.7,-40.2
-0.5,0.4375,0.7,-40.2
-0.5,0.4375,0.7,-40.2
-0.5,0.4375,0.7,-40.2
-0.5,0.4375,0.7,-43.4
-0.5,0.4375,0.7,-43.4
-0.5,0.4375,0.7,-43.4
-0.5,0.4375,0.7,-46.6
-0.5,0.4375,0.7,-46.6
-0.5,0.4375,0.7,-46.6
-0.5,0.4375,0.7,-49.8
-0.5,0.4375,0.7,-49.8
-0.5,0.4375,0.7,-49.8
-0.5,0.4375,0.7,-53.0
-0.5,0.4375,0.7,-53.0
-0.5,0.4375,0.7,-53.0
-0.5,0.4375,0.7,-56.2
-0.5,0.4375,0.7,-56.2
-0.5,0.4375,0.7,-56.2
-0.5,0.4375,0.7,-59.4
-0.5,0.4375,0.7,-59.4
-0.5,0.4375,0.7,-59.4
-0.5,0.4375,0.7,-62.6
-0.5,0.4375,0.7,-62.6
-0.5,0.4375,0.7,-62.6
-0.5,0.4375,0.7,-65.8
-0.5,0.4375,0.7,-65.8
-0.5,0.4375,0.7,-65.8
-0.5,0.4375,0.7,-69.0
-0.5,0.4375,0.7,-69.0
-0.5,0.4375,0.7,-69.0
-0.5,0.4375,0.7,-72.2
-0.5,0.4375,0.7,-72.2
-0.5,0.4375,0.7,-72.2
-0.5,0.4375,0.7,-75.4
-0.5,0.4375,0.7,-75.4
-0.5,0.4375,0.7,-75.4
-0.5,0.4375,0.7,-78.6
-0.5,0.4375,0.7,-78.6
-0.5,0.4375,0.7,-78.6
-0.5,0.4375,0.7,-81.8
-0.5,0.4375,0.7,-81.8
-0.5,0.4375,0.7,-81.8
-0.4,0.2544,-0.2,-0.515625
-0.4,0.2144,-0.1,-0.7109375
-0.4,0.2144,-0.1,-0.7109375
-0.4,0.2944,0.0,-5.203125
-0.4,0.2944,0.0,-5.203125
-0.4,0.2944,0.1,-10.0859375
-0.4,0.2944,0.1,-10.0859375
-0.4,0.2944,0.1,-10.0859375
-0.4,0.2544,0.1,-5.3984375
-0.4,0.2544,0.1,-5.3984375
-0.4,0.2544,0.1,-5.3984375
-0.4,0.2144,0.1,-10.4765625
-0.4,0.2944,0.2,-14.96875
-0.4,0.2944,0.2,-14.96875
-0.4,0.2944,0.2,-24.734375
-0.4,0.2944,0.2,-34.5
-0.4,0.2544,0.2,-10.28125
-0.4,0.2544,0.2,-10.28125
-0.4,0.2544,0.2,-10.28125
-0.4,0.2544,0.2,-20.046875
-0.4,0.2544,0.2,-20.046875
-0.4,0.2544,0.2,-29.8125
-0.4,0.2144,0.2,-25.125
-0.4,0.2944,0.3,-19.8515625
-0.4,0.2944,0.3,-19.8515625
-0.4,0.2944,0.3,-19.8515625
-0.4,0.2944,0.3,-29.6171875
-0.4,0.2944,0.3,-29.6171875
-0.4,0.2944,0.3,-29.6171875
-0.4,0.2944,0.3,-39.3828125
-0.4,0.2944,0.3,-39.3828125
-0.4,0.2944,0.3,-49.1484375
-0.4,0.2944,0.3,-49.1484375
-0.4,0.2944,0.3,-58.9140625
-0.4,0.2944,0.3,-58.9140625
-0.4,0.2944,0.3,-68.6796875
-0.4,0.2944,0.3,-78.4453125
-0.4,0.2944,0.3,-88.2109375
-0.4,0.2944,0.3,-97.9765625
-0.4,0.2944,0.3,-107.7421875
-0.4,0.2544,0.3,-24.9296875
-0.4,0.2544,0.3,-24.9296875
-0.4,0.2544,0.3,-24.9296875
-0.4,0.2544,0.3,-34.6953125
-0.4,0.2544,0.3,-34.6953125
-0.4,0.2544,0.3,-44.4609375
-0.4,0.2544,0.3,-44.4609375
-0.4,0.2544,0.3,-54.2265625
-0.4,0.2544,0.3,-54.2265625
-0.4,0.2544,0.3,-63.9921875
-0.4,0.2544,0.3,-73.7578125
-0.4,0.2544,0.3,-83.5234375
-0.4,0.2544,0.3,-93.2890625
-0.4,0.2144,0.3,-49.5390625
-0.4,0.2144,0.3,-49.5390625
-0.4,0.2144,0.3,-49.5390625
-0.4,0.2144,0.3,-59.3046875
-0.4,0.2144,0.3,-59.3046875
-0.4,0.2144,0.3,-69.0703125
-0.4,0.2144,0.3,-69.0703125
-0.4,0.2144,0.3,-78.8359375
-0.4,0.2144,0.3,-78.8359375
-0.4,0.2144,0.3,-88.6015625
-0.4,0.2144,0.3,-88.6015625
-0.4,0.2144,0.3,-98.3671875
-0.4,0.2144,0.3,-98.3671875
-0.4,0.1744,0.3,-191.3359375
-0.4,0.1744,0.3,-201.1015625
-0.4,0.1744,0.3,-210.8671875
-0.4,0.1744,0.3,-220.6328125
-0.4,0.1744,0.3,-230.3984375
-0.4,0.1744,0.3,-240.1640625
-0.4,0.1744,0.3,-249.9296875
-0.4,0.2944,0.4,-34.5
-0.4,0.2944,0.4,-34.5
-0.4,0.2944,0.4,-34.5
-0.4,0.2944,0.4,-34.5
-0.4,0.2944,0.4,-34.5
-0.4,0.2944,0.4,-44.265625
-0.4,0.2944,0.4,-44.265625
-0.4,0.2944,0.4,-44.265625
-0.4,0.2944,0.4,-44.265625
-0.4,0.2944,0.4,-54.03125
-0.4,0.2944,0.4,-54.03125
-0.4,0.2944,0.4,-54.03125
-0.4,0.2944,0.4,-63.796875
-0.4,0.2944,0.4,-63.796875
-0.4,0.2944,0.4,-63.796875
-0.4,0.2944,0.4,-73.5625
-0.4,0.2944,0.4,-73.5625
-0.4,0.2944,0.4,-73.5625
-0.4,0.2944,0.4,-83.328125
-0.4,0.2944,0.4,-83.328125
-0.4,0.2944,0.4,-83.328125
-0.4,0.2944,0.4,-93.09375
-0.4,0.2944,0.4,-93.09375
-0.4,0.2944,0.4,-102.859375
-0.4,0.2944,0.4,-102.859375
-0.4,0.2944,0.4,-112.625
-0.4,0.2944,0.4,-112.625
-0.4,0.2944,0.4,-122.390625
-0.4,0.2944,0.4,-122.390625
-0.4,0.2944,0.4,-132.15625
-0.4,0.2944,0.4,-132.15625
-0.4,0.2944,0.4,-141.921875
-0.4,0.2944,0.4,-141.921875
-0.4,0.2944,0.4,-151.6875
-0.4,0.2944,0.4,-151.6875
-0.4,0.2944,0.4,-161.453125
-0.4,0.2944,0.4,-161.453125
-0.4,0.2944,0.4,-171.21875
-0.4,0.2944,0.4,-171.21875
-0.4,0.2944,0.4,-180.984375
-0.4,0.2944,0.4,-180.984375
-0.4,0.2944,0.4,-190.75
-0.4,0.2944,0.4,-190.75
-0.4,0.2944,0.4,-200.515625
-0.4,0.2944,0.4,-200.515625
-0.4,0.2944,0.4,-210.28125
-0.4,0.2944,0.4,-210.28125
-0.4,0.2544,0.4,-49.34375
-0.4,0.2544,0.4,-49.34375
-0.4,0.2544,0.4,-49.34375
-0.4,0.2544,0.4,-49.34375
-0.4,0.2544,0.4,-59.109375
-0.4,0.2544,0.4,-59.109375
-0.4,0.2544,0.4,-59.109375
-0.4,0.2544,0.4,-59.109375
-0.4,0.2544,0.4,-68.875
-0.4,0.2544,0.4,-68.875
-0.4,0.2544,0.4,-68.875
-0.4,0.2544,0.4,-68.875
-0.4,0.2544,0.4,-78.640625
-0.4,0.2544,0.4,-78.640625
-0.4,0.2544,0.4,-78.640625
-0.4,0.2544,0.4,-88.40625
-0.4,0.2544,0.4,-88.40625
-0.4,0.2544,0.4,-98.171875
-0.4,0.2544,0.4,-98.171875
-0.4,0.2544,0.4,-107.9375
-0.4,0.2544,0.4,-107.9375
-0.4,0.2544,0.4,-117.703125
-0.4,0.2544,0.4,-117.703125
-0.4,0.2544,0.4,-127.46875
-0.4,0.2544,0.4,-127.46875
-0.4,0.2544,0.4,-137.234375
-0.4,0.2544,0.4,-137.234375
-0.4,0.2544,0.4,-147.0
-0.4,0.2544,0.4,-147.0
-0.4,0.2544,0.4,-156.765625
-0.4,0.2544,0.4,-156.765625
-0.4,0.2544,0.4,-166.53125
-0.4,0.2544,0.4,-166.53125
-0.4,0.2544,0.4,-176.296875
-0.4,0.2544,0.4,-176.296875
-0.4,0.2544,0.4,-186.0625
-0.4,0.2544,0.4,-186.0625
-0.4,0.2544,0.4,-195.828125
-0.4,0.2544,0.4,-195.828125
-0.4,0.2544,0.4,-205.59375
-0.4,0.2544,0.4,-215.359375
-0.4,0.2544,0.4,-225.125
-0.4,0.2544,0.4,-234.890625
-0.4,0.2944,0.5,-107.7421875
-0.4,0.2944,0.5,-107.7421875
-0.4,0.2944,0.5,-107.7421875
-0.4,0.2944,0.5,-107.7421875
-0.4,0.2944,0.5,-117.5078125
-0.4,0.2944,0.5,-117.5078125
-0.4,0.2944,0.5,-117.5078125
-0.4,0.2944,0.5,-127.2734375
-0.4,0.2944,0.5,-127.2734375
-0.4,0.2944,0.5,-127.2734375
-0.4,0.2944,0.5,-137.0390625
-0.4,0.2944,0.5,-137.0390625
-0.4,0.2944,0.5,-137.0390625
-0.4,0.2944,0.5,-146.8046875
-0.4,0.2944,0.5,-146.8046875
-0.4,0.2944,0.5,-146.8046875
-0.4,0.2944,0.5,-156.5703125
-0.4,0.2944,0.5,-156.5703125
-0.4,0.2944,0.5,-166.3359375
-0.4,0.2944,0.5,-166.3359375
-0.4,0.2944,0.5,-176.1015625
-0.4,0.2944,0.5,-176.1015625
-0.4,0.2944,0.5,-185.8671875
-0.4,0.2944,0.5,-185.8671875
-0.4,0.2944,0.5,-195.6328125
-0.4,0.2944,0.5,-195.6328125
-0.4,0.2944,0.5,-205.3984375
-0.4,0.2944,0.5,-205.3984375
-0.4,0.2944,0.5,-215.1640625
-0.4,0.2944,0.5,-215.1640625
-0.4,0.2944,0.5,-224.9296875
-0.4,0.2944,0.5,-224.9296875
-0.4,0.2944,0.5,-234.6953125
-0.4,0.2944,0.5,-234.6953125
-0.3,0.1719,0.0,-22.5144032922
-0.3,0.1419,0.0,-11.4032921811
-0.3,0.1419,0.0,-11.4032921811
-0.3,0.1719,0.1,-36.231824417
-0.3,0.1719,0.1,-36.231824417
-0.3,0.1719,0.1,-77.3840877915
-0.3,0.1419,0.1,-25.1207133059
-0.3,0.1419,0.1,-25.1207133059
-0.3,0.1419,0.1,-66.2729766804
-0.3,0.1719,0.2,-91.1015089163
-0.3,0.1719,0.2,-91.1015089163
-0.3,0.1719,0.2,-91.1015089163
-0.3,0.1719,0.2,-132.253772291
-0.3,0.1719,0.2,-132.253772291
-0.3,0.1719,0.2,-173.406035665
-0.3,0.1719,0.2,-173.406035665
-0.3,0.1719,0.2,-214.55829904
-0.3,0.1719,0.2,-214.55829904
-0.3,0.1719,0.2,-255.710562414
-0.3,0.1719,0.2,-296.862825789
-0.3,0.1719,0.2,-338.015089163
-0.3,0.1719,0.2,-379.167352538
-0.3,0.1719,0.2,-420.319615912
-0.3,0.1719,0.2,-461.471879287
