e,rc,rp,gamma,up,uc,vc,vp
0.5,-0.05,0.4,-0.2,0.0384,0.2476,-0.2679232,0.006144
0.6,-0.5,1.0,-1.0,0.6,1.3,-0.92,0.6
0.6,-0.6,1.0,-1.0,0.6,1.3,-0.92,0.6
0.6,-0.7,1.0,-1.0,0.6,1.3,-0.92,0.6
0.6,-0.8,1.0,-1.0,0.6,1.3,-0.92,0.6
0.6,-0.15,1.0,-0.5,0.6,0.3125,-0.22,0.6
0.6,-0.2,1.0,-0.5,0.6,0.3125,-0.22,0.6
0.6,-0.0857142857143,0.7,-0.3,0.2058,0.219587755102,-0.218996907289,0.100842
0.7,-0.12,1.0,-0.4,0.6,0.23264,-0.16865792,0.6
0.7,-0.075,0.8,-0.3,0.3072,0.200175,-0.17125635,0.196608
0.8,-0.0666666666667,0.9,-0.3,0.4374,0.183488888889,-0.137618607407,0.354294
0.9,-0.06,1.0,-0.3,0.6,0.16914,-0.11303808,0.6
0.9,-0.0285714285714,0.7,-0.2,0.2058,0.149648979592,-0.122199846064,0.100842
1.0,-0.025,0.8,-0.2,0.3072,0.1238,-0.1339616,0.196608
